বালাসরস্বতী	Balasaraswati
আনা আগ্রাতোভা	Anna Aglatova
আন্তি মুনুক্কা	Antti Munukka
লেয়াল আববুদ	Layal Abboud
আব্দুর রাজ্জাক	Abdur Razzak
আমনা শরীফ	Aamna Sharif
আমির খান	Ameer Khan
আরতী ছাবড়িয়া	Aarti Chabria
আলবের্তো জিলার্দিনো	Alberto Gilardino
ফাহাদ আহমেদ	Fawad Ahmed
শীলা আহমেদ	Shila Ahmed
ইব্রাহিম চেলিক্কল	İbrahim Çelikkol
ইমরান আব্বাস	Imran Abbas
ইয়ান থর্প	Ian Thorpe
ইয়েলেনা ইসিনবায়েভা	Yelena Isinbayeva
সারাহ ইলিয়ট	Sarah Elliott
সারা ইসহাক	Sara Ishaq
কনস্ট্যান্স উ	Constance Wu
এমাইলি	Amylie
এলিটা করিম	Elita Karim
অ্যান্ড্রু এলিস	Andrew Ellis
ঐশ্বর্য রজনীকান্ত	Aishwarya R. Dhanush
রেস ওং	Race Wong
এইমি ওয়াটকিনস	Aimee Watkins
ওয়াসিলউদ্দিন আহমদ	Waseluddin Ahmed
করণবীর বোহরা	Karanvir Bohra
কাউরি আউরনাসন	Kári Árnason
কাকা	Kaká
থিলিনা কাদম্বি	Thilina Kandamby
কামরান আকমল	Kamran Akmal
কায়সার আব্বাস	Qaiser Abbas
কায়সার জামাল	Qaiser Jamal
কার্লি লয়েড	Carli Lloyd
কিয়া আবদুল্লাহ	Kia Abdullah
কুশল পাঞ্জাবী	Kushal Punjabi
কেনরয় পিটার্স	Kenroy Peters
কোডা কুমি	Koda Kumi
কোবি স্মুলডার্স	Cobie Smulders
কোয়েল মল্লিক	Koel Mallick
বেরগুজার কোরেল	Bergüzar Korel
সুলতান কোসেন	Sultan Kösen
বো ক্যাসন	Beau Casson
গাজী আলমগীর	Gazi Alamgir
চন্ডিমা গুণরত্নে	Chandima Gunaratne
গ্রাহাম অনিয়ন্স	Graham Onions
হিরণ চট্টোপাধ্যায়	Hiran Chatterjee
চন্দনা শর্মা	Chandana Sharma
চার্লিন চো	Charlene Choi
প্রিয়াঙ্কা চোপড়া	Priyanka Chopra Jonas
বাপ্পি চৌধুরী	Bappy Chowdhury
জন মুনি	John Mooney
জর্জ বেইলি	George Bailey
জাস্টিন গ্যাটলিন	Justin Gatlin
জুলকারনাইন জাকারিয়া	Zulkarnain Zakaria
জেমস ট্রেডওয়েল	James Tredwell
জেসিকা বিয়েল	Jessica Biel
জোসেফ আফুসি	Joseph Afusi
জ্যাক হাসটন	Jack Huston
জ্যামি দোরহান	Jamie Dornan
টমাশ কুশতাক	Tomasz Kuszczak
টিউলিপ সিদ্দিক	Tulip Siddiq
কিয়ার্স্টন ডান্‌স্ট	Kirsten Dunst
টেরি ডাফিন	Terry Duffin
ডায়নামো	Dynamo
ডেভন এওকি	Devon Aoki
নাটালি ডোরমার	Natalie Dormer
জেভিয়ার ডোহার্টি	Xavier Doherty
ড্যানিকা প্যাট্রিক	Danica Patrick
কুইনি তাই	Queenie Tai
তাপস বৈশ্য	Tapash Baisya
সোফিয়ানি দাইদ	Sofiane Daid
দাভিদ নালবান্দিয়ান	David Nalbandian
দালজিত কৌর	Dalljiet Kaur
রঞ্জন দাস	Ranjan Das
দিলরুয়ান পেরেরা	Dilruwan Perera
দিলানী মানোদারা	Dilani Manodara
দেব	Dev
মনিকা দোগরা	Monica Dogra
রেইকো নাকামুরা	Reiko Nakamura
ওয়াসফিয়া নাজরীন	Wasfia Nazreen
আর্মেন নাজারিয়েন	Armen Nazaryan
নাটালিয়া নায়ার্ট	Natalya Neidhart
নিক ভুইয়িচিচ	Nick Vujicic
নিকি মিনাজ	Nicki Minaj
নিকিতা মিলার	Nikita Miller
নিম্রত কৌর	Nimrat Kaur
নীহারিকা সিং	Niharika Singh
নুয়ান কুলাসেকারা	Nuwan Kulasekara
রুথ নেগা	Ruth Negga
পদ্মপ্রিয়া জনকীরামন	Padmapriya Janakiraman
থারাঙ্গা পারানাভিতানা	Tharanga Paranavitana
পারুল যাদব	Parul Yadav
পিট বুটিজেজ	Pete Buttigieg
পূজা গুপ্তা	Puja Gupta
পেপে রেইনা	Pepe Reina
অ্যানা প্যাকুইন	Anna Paquin
প্রয়াগ আকবর	Prayaag Akbar
প্রসন্ন	Prasanna
প্রাণতোষ কুমার দাস	Pranotosh Kumar Das
ম্যাট প্রায়র	Matt Prior
ফাতিমা ভুট্টো	Fatima Bhutto
ফাহাদ আল হাশমি	Fahad Alhashmi
ওয়েন এন. ফিলিপস	Wayne N. Phillips
ফেদায়ি সান	Fedayi San
ফ্যাব্রিসিও কলোচ্চিনি	Fabricio Coloccini
ফ্লাভিয়া পেনেত্তা	Flavia Pennetta
অতসে বর্মন	Atse Buurman
বিজয় কুমার হাঁসদাক	Vijay Hansdak
ডান ভান বুঙ্গে	Daan van Bunge
বেতো	Beto
আমর বেনিখলেফ	Amar Benikhlef
ইয়ান বেল	Ian Bell
যোহান বোথা	Johan Botha
ব্র্যাড জোন্স	Brad Jones
নেহা ভাসিন	Neha Bhasin
ভিক্তর ভালদেস	Víctor Valdés
ভেরা ব্রেজেনেভা	Vera Brezhneva
মন্ডে জনডেকি	Monde Zondeki
মমতাজ আলীয়া আকবরী	Protyasha
মারিয়া ক্যানেলিস	Maria Kanellis
মালিকা ফাভ	Malika Favre
মাহী বিজ	Mahhi Vij
মীরা জেসমিন	Meera Jasmine
মীরা বসুদেবন	Meera Vasudevan
মুগ্ধা গোডসে	Mugdha Godse
রুসলান মুমতাজ	Ruslaan Mumtaz
মেঘনা নাইডু	Meghna Naidu
মেহবুবা মাহনূর চাঁদনী	Mehbooba Mahnoor Chandni
মৈথিলি প্রকাশ	Mythili Prakash
থিয়াগো মোত্তা	Thiago Motta
মোহাম্মদ ইরফান	Mohammad Irfan
যোগেশ্বর দত্ত	Yogeshwar Dutt
রণবীর কাপুর	Ranbir Kapoor
মিতালী রাজ	Mithali Raj
রায়ান বেইলি	Ryan Bailey
রিমা দাস	Rima Das
এডি রেডমেইন	Eddie Redmayne
রোকনুজ্জামান কাঞ্চন	Rokonuzzaman Kanchan
জার্মেইন লসন	Jermaine Lawson
ডিকেন লাচম্যান	Dichen Lachman
লাবলুর রহমান	Lablur Rahman
লি না	Li Na
লিন নাহ	Linh Nga
এরিয়েল লিন	Ariel Lin
কৌশল লোকুয়ারাচ্চি	Kaushal Lokuarachchi
শমী পাটোয়ারী	Shomi Patwary
শরথ কমল	Sharath Kamal
অমিতা শর্মা	Amita Sharma
শহীদুল ইসলাম সৈকত	Shahidul Islam
শি ইয়ান	Shi Yan
শিবলী সাদিক	Shibli Sadique
আরিফিন শুভ	Arifin Shuvoo
বেলা শেন্ডে	Bela Shende
শেফালী জারীওয়ালা	Shefali Jariwala
শোয়েব মালিক	Shoaib Malik
শ্রিয়া সরন	Shriya Saran
হান্নান সরকার	Hannan Sarkar
রাশাদ সাদিগভ	Rashad Sadygov
সারাহ-জেইন ডায়াস	Sarah-Jane Dias
সিমলা	Shimla
সুনীতি লুবসার	Sunette Loubser
সুমাইয়া কাজী	Sumaya Kazi
সুমিত নারোয়াল	Sumit Narwal
সেবাস্টিয়্যান স্ট্যান	Sebastian Stan
মঞ্জুলা চেল্লুর	Manjula Chellur
বুধাদিত্য মুখার্জ্জী	Budhaditya Mukherjee
খাদিজা মুমতাজ	Khadija Mumtaz
অথর আব্বাস	Athar Abbas
অনুপম খের	Anupam Kher
আকিরা তোরিয়ামা	Akira Toriyama
আনোয়ার হোসেন	Anwar Hossain
আন্ চিয়াং	Ann Chiang
আবদুর রহমান	Abdur Rahman Bangladeshi
আবদুল কাদির	Abdul Qadir
আবদুল মুবীন	Md Abdul Mubeen
আব্দুর রাজ্জাক	Mohammad Abdur Razzaque
আলমগীর হক	Alamgir Haq
আসিফ আলি জারদারি	Asif Ali Zardari
আহমেদ আকবর সোবহান	Ahmed Akbar Sobhan
ইজাবেল আদজানি	Isabelle Adjani
ইন্দ্রা নুই	Indra Nooyi
ইফতেখার উদ্দিন চৌধুরী	Iftekhar Uddin Chowdhury
ব্রুস উইলিস	Bruce Willis
উত্তম আকাশ	Uttam Akash
উদয়ন গুহ	Udayan Guha
উবায়দুল মোকতাদির চৌধুরী	R. A. M. Obaidul Muktadir Chowdhury
এ.এফ.এম. রেজাউল করিম সিদ্দিকী হত্যাকাণ্ড	Murder of A. F. M. Rezaul Karim Siddique
জক এডওয়ার্ডস	Jock Edwards
আন্ড্রেয়াস বেখটোল্‌সহাইম	Andy Bechtolsheim
এম. আবদুল লতিফ	M. Abdul Latif
এমিনি এরদোয়ান	Emine Erdoğan
এস. এম. মজিবুর রহমান	S.M. Mozibur Rahman
জুলিয়েন ওয়াইনার	Julien Wiener
ইয়ান কলেন	Ian Callen
কাজী মো. আনোয়ার হোসেন	Kazi Md. Anowar Hossain
কাবিলা	Kabila
কামরুল হাসান খান	Kamrul Hasan Khan
পিটার কার্স্টেন	Peter Kirsten
রবি কিনাগী	Rabi Kinagi
কিরণ খের	Kirron Kher
কিরীট খান	Kirit Khan
এন্ড্রু কিশোর	Andrew Kishore
কৃষ্ণা দেবনাথ	Krishna Debnath
কে এম খালিদ বাবু	K. M. Khalid
কে এম হেমায়েত উল্লাহ আওরঙ্গজেব	K.M. Hemayet Ullah Auranga
কেভিন কসনার	Kevin Costner
ক্রিস্ট ওয়ালটন	Christy Walton
মোহসিন খান	Mohsin Khan
গুলশান গ্রোভার	Gulshan Grover
গোলাম মোস্তফা	Golam Mostofa
উপি গোল্ডবার্গ	Whoopi Goldberg
গ্যারি সিনিস	Gary Sinise
পল গ্রিনগ্রাস	Paul Greengrass
ইয়ান গ্রেগ	Ian Greig
রঞ্জন ঘোষাল	Ranjon Ghoshal
চন্দ্রিমা ভট্টাচার্য	Chandrima Bhattacharya
চিরঞ্জীবী	Chiranjeevi
চুয়া সুন বুই	Chua Soon Bui
স্টিভ জবস	Steve Jobs
সুনীল জয়াসিংহে	Sunil Jayasinghe
শহীদুল জহির	Shahidul Zahir
জামাল উদ্দিন আহমেদ	Jamal Uddin Ahmed
ম্যালকম জার্ভিস	Malcolm Jarvis
জিগমে সিংয়ে ওয়াংচুক	Jigme Singye Wangchuck
জেইর বলসোনারো	Jair Bolsonaro
জেমস গসলিং	James Gosling
জোয়াকিম বাক্সলা	Joachim Baxla
টিম বার্নার্স-লি	Tim Berners-Lee
টোমাস ক্রিস্টিয়ান জুডহোফ	Thomas C. Südhof
উইলেম ডাফো	Willem Dafoe
গ্রানভিল ডি সিলভা	Granville de Silva
তাজুল ইসলাম	Md. Tajul Islam
তান আহ এং	Tan Ah Eng
তালাত আহমদ	Talat Ahmad
বিলি বব থর্নটন	Billy Bob Thornton
দাউদ ইব্রাহিম	Dawood Ibrahim
দুরুল হুদা	Durul Huda
ধ্রুবজ্যোতি বরা	Dhrubajyoti Bora
শাহাবুদ্দীন নাগরী	Shahabuddin Nagari
